"Points : 0", "Points : 1", "Points : 2","i", "j", "k","active : 0", "active : 1", "active : 2"
0.1714285714285714, -0.09, 0.5000000000000001, 1, 1, 1, 0, 0, 0
0.2932372403191117, -0.02005757871607914, 0.5000000000000001, 2, 1, 1, 1, 1, 0
0.4110152557067475, -0.008935932828174568, 0.5000000000000001, 3, 1, 1, 1, 1, 0
0.5303818159319397, -0.03315314879175492, 0.5000000000000001, 4, 1, 1, 1, 1, 0
0.6537747827490197, -0.0616691246637314, 0.5000000000000001, 5, 1, 1, 1, 1, 0
0.7785714285714286, -0.09, 0.5000000000000001, 6, 1, 1, 0, 0, 0
0.9, -0.09, 0.5000000000000001, 7, 1, 1, 0, 0, 0
0.05, -0.03, 0.5000000000000001, 0, 2, 1, 0, 0, 0
0.1714285714285714, -0.03, 0.5000000000000001, 1, 2, 1, 0, 0, 0
0.2947224145064541, 0.02107499016371256, 0.5000000000000001, 2, 2, 1, 1, 1, 0
0.4105719510493642, 0.03614503070136384, 0.5000000000000001, 3, 2, 1, 1, 1, 0
0.5266359953018498, 0.04048314694765699, 0.5000000000000001, 4, 2, 1, 1, 1, 0
0.6470363899965992, 0.03592439203104698, 0.5000000000000001, 5, 2, 1, 1, 1, 0
0.7785714285714286, -0.03, 0.5000000000000001, 6, 2, 1, 0, 0, 0
0.9, -0.03, 0.5000000000000001, 7, 2, 1, 0, 0, 0
0.05, 0.03, 0.5000000000000001, 0, 3, 1, 0, 0, 0
0.1714285714285714, 0.03, 0.5000000000000001, 1, 3, 1, 0, 0, 0
0.2967481050146937, -0.06608617309983857, 0.5000000000000001, 2, 3, 1, 1, 1, 0
0.4147561446372809, -0.0477044792109119, 0.5000000000000001, 3, 3, 1, 1, 1, 0
0.5316078015987735, -0.04071748441131726, 0.5000000000000001, 4, 3, 1, 1, 1, 0
0.6489770931891904, -0.01977058000784853, 0.5000000000000001, 5, 3, 1, 1, 1, 0
0.7785714285714286, 0.03, 0.5000000000000001, 6, 3, 1, 0, 0, 0
0.9, 0.03, 0.5000000000000001, 7, 3, 1, 0, 0, 0
